docid,unique_id,relation_selected,score,verb1,verb2,eiid1,eiid2,relation,model_name,ccr,scr
CNN_20130322_1003,e18-e21,BEFORE,2,collect,arrested,e18,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e18-e6,BEFORE,1,reported,collect,e6,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e18-e7,BEFORE,1,missing,collect,e7,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e19-e2,BEFORE,2,faking,started,e2,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e19-e20,BEFORE,5,started,said,e19,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e19-e21,BEFORE,3,started,arrested,e19,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e19-e6,BEFORE,1,reported,started,e6,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e19-e7,BEFORE,1,missing,started,e7,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e20,BEFORE,2,faking,said,e2,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e2012,EQUAL,1,faking,death,e2,e2012,EQUAL,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e21,BEFORE,2,faking,arrested,e2,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e3,BEFORE,2,faking,pleaded,e2,e3,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e5,BEFORE,2,faking,announced,e2,e5,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e6,BEFORE,2,faking,reported,e2,e6,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e7,BEFORE,2,faking,missing,e2,e7,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2-e9,BEFORE,2,faking,said,e2,e9,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e20-e21,BEFORE,1,said,arrested,e20,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e20-e6,BEFORE,1,reported,said,e6,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e20-e7,BEFORE,1,missing,said,e7,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2003-e34,BEFORE,1,said,unaware,e34,e2003,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2005-e2006,EQUAL,1,abuse,manipulation,e2005,e2006,EQUAL,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2005-e46,BEFORE,1,arrest,abuse,e46,e2005,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2006-e2007,EQUAL,1,manipulation,coercion,e2006,e2007,EQUAL,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2006-e46,BEFORE,1,arrest,manipulation,e46,e2006,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2007-e46,BEFORE,1,arrest,coercion,e46,e2007,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2008-e2009,BEFORE,1,issues,agreement,e2008,e2009,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2008-e49,BEFORE,1,involved,issues,e49,e2008,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2009-e50,BEFORE,1,agreement,told,e2009,e50,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e2010-e53,BEFORE,1,added,treatment,e53,e2010,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e23,BEFORE,5,arrested,agreed,e21,e23,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e24,BEFORE,2,arrested,plead,e21,e24,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e25,BEFORE,2,arrested,charge,e21,e25,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e26,BEFORE,2,arrested,sentence,e21,e26,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e27,BEFORE,2,arrested,said,e21,e27,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e28,BEFORE,2,arrested,pay,e21,e28,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e29,BEFORE,2,arrested,search,e21,e29,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e30,BEFORE,1,arrested,told,e21,e30,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e31,BEFORE,1,arrested,thought,e21,e31,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e32,BEFORE,1,arrested,devised,e21,e32,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e33,BEFORE,1,arrested,fired,e21,e33,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e46,BEFORE,1,arrested,arrest,e21,e46,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e21-e47,BEFORE,1,arrested,saying,e21,e47,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
