docid,verb1,verb2,eiid1,eiid2,relation,unique_id,model_name,n_iter,score,relation_selected,max_score,ccr,scr,n_cycles,min_vote
AP_20130322,ended,according,e6,e7,BEFORE,e6-e7,gemini-1.5-flash,1.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,reported,said,e8,e9,BEFORE,e8-e9,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,said,e9,e10,BEFORE,e10-e9,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,die,died,e11,e12,BEFORE,e11-e12,gemini-1.5-flash,1.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,recommends,vaccinated,e13,e2001,BEFORE,e13-e2001,gemini-1.5-flash,1.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,vaccinated,e17,e19,BEFORE,e17-e19,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,said,e19,e20,BEFORE,e19-e20,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,considered,work,e21,e22,BEFORE,e21-e22,gemini-1.5-flash,1.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,season,started,e2002,e27,BEFORE,e2002-e27,gemini-1.5-flash,1.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,season,started,e2003,e27,BEFORE,e2003-e27,gemini-1.5-flash,1.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,started,peaked,e27,e1000035,BEFORE,e1000035-e27,gemini-1.5-flash,1.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,peaked,dropping,e1000035,e28,BEFORE,e1000035-e28,gemini-1.5-flash,1.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,appear,getting,e29,e30,BEFORE,e29-e30,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,appear,said,e29,e31,BEFORE,e29-e31,gemini-1.5-flash,1.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,getting,said,e30,e31,BEFORE,e30-e31,gemini-1.5-flash,1.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,sparking,turn,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,ended,turn,e6,e5,BEFORE,e5-e6,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,according,ended,e7,e6,BEFORE,e6-e7,gemini-1.5-flash,2.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,reported,according,e8,e7,BEFORE,e7-e8,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,said,reported,e9,e8,BEFORE,e8-e9,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,said,e10,e9,BEFORE,e10-e9,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,died,die,e12,e11,BEFORE,e11-e12,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,recommends,vaccinated,e13,e2001,BEFORE,e13-e2001,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,vaccinated,e17,e19,BEFORE,e17-e19,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,vaccinated,e20,e19,BEFORE,e19-e20,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,considered,vaccinated,e21,e2001,BEFORE,e2001-e21,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,work,considered,e22,e21,BEFORE,e21-e22,gemini-1.5-flash,2.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,season,work,e2002,e22,BEFORE,e2002-e22,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,season,started,e2002,e27,BEFORE,e2002-e27,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,started,peaked,e27,e1000035,BEFORE,e1000035-e27,gemini-1.5-flash,2.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,dropping,peaked,e28,e1000035,BEFORE,e1000035-e28,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,appear,dropping,e29,e28,BEFORE,e28-e29,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,appear,getting,e29,e30,BEFORE,e29-e30,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,season,getting,e2004,e30,BEFORE,e2004-e30,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,season,said,e2004,e31,BEFORE,e2004-e31,gemini-1.5-flash,2.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,sparking,turn,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,turn,ended,e5,e6,BEFORE,e5-e6,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,according,ended,e7,e6,BEFORE,e6-e7,gemini-1.5-flash,3.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,said,reported,e9,e8,BEFORE,e8-e9,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,said,e9,e10,BEFORE,e10-e9,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,die,died,e11,e12,VAGUE,e11-e12,gemini-1.5-flash,3.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,vaccinated,e17,e19,BEFORE,e17-e19,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,said,e19,e20,BEFORE,e19-e20,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,considered,work,e21,e22,VAGUE,e21-e22,gemini-1.5-flash,3.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,season,e2001,e2002,VAGUE,e2001-e2002,gemini-1.5-flash,3.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,started,dropping,e27,e28,BEFORE,e27-e28,gemini-1.5-flash,3.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,appear,getting,e29,e30,BEFORE,e29-e30,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,getting,said,e30,e31,BEFORE,e30-e31,gemini-1.5-flash,3.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,sparking,turn,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,turn,ended,e5,e6,BEFORE,e5-e6,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,ended,according,e6,e7,BEFORE,e6-e7,gemini-1.5-flash,4.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,according,reported,e7,e8,BEFORE,e7-e8,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,reported,said,e8,e9,BEFORE,e8-e9,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,reported,said,e8,e10,BEFORE,e10-e8,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,said,said,e9,e10,BEFORE,e10-e9,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,die,e10,e11,BEFORE,e10-e11,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,said,died,e10,e12,BEFORE,e10-e12,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,die,died,e11,e12,BEFORE,e11-e12,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,recommends,vaccinated,e13,e2001,BEFORE,e13-e2001,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,vaccinated,e17,e19,BEFORE,e17-e19,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,said,e19,e20,BEFORE,e19-e20,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,considered,e20,e21,BEFORE,e20-e21,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,considered,work,e21,e22,BEFORE,e21-e22,gemini-1.5-flash,4.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,work,season,e22,e2002,BEFORE,e2002-e22,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,season,started,e2002,e27,BEFORE,e2002-e27,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,started,peaked,e27,e1000035,BEFORE,e1000035-e27,gemini-1.5-flash,4.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,dropping,appear,e28,e29,BEFORE,e28-e29,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,appear,getting,e29,e30,BEFORE,e29-e30,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,appear,said,e29,e31,BEFORE,e29-e31,gemini-1.5-flash,4.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,getting,said,e30,e31,BEFORE,e30-e31,gemini-1.5-flash,4.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
CNN_20130321_821,make,,e1,e2,BEFORE,UNDEFINED,gemini-1.5-flash,0.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,had,used,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,used,unleashed,e5,e8,BEFORE,e5-e8,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.5,1.0,,3
CNN_20130321_821,unleashed,intended,e8,e1000,BEFORE,e1000-e8,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,intended,tries,e1000,e1002,BEFORE,e1000-e1002,gemini-1.5-flash,0.0,1,,,0.5,1.0,,3
CNN_20130321_821,tries,undermine,e1002,e1003,BEFORE,e1002-e1003,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,tries,assure,e1002,e20,BEFORE,e1002-e20,gemini-1.5-flash,0.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,,e1,e2,BEFORE,UNDEFINED,gemini-1.5-flash,1.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,had,used,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,unleashed,intended,e8,e1000,BEFORE,e1000-e8,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,tries,undermine,e1002,e1003,BEFORE,e1002-e1003,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,make,,e1,e2,BEFORE,UNDEFINED,gemini-1.5-flash,2.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,make,had,e1,e4,BEFORE,e1-e4,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,used,e1,e5,BEFORE,e1-e5,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,unleashed,e1,e8,BEFORE,e1-e8,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,intended,e1,e1000,BEFORE,e1-e1000,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,tries,e1,e1002,BEFORE,e1-e1002,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,undermine,e1,e1003,BEFORE,e1-e1003,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,used,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,had,unleashed,e4,e8,BEFORE,e4-e8,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,intended,e4,e1000,BEFORE,e1000-e4,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,tries,e4,e1002,BEFORE,e1002-e4,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,undermine,e4,e1003,BEFORE,e1003-e4,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,unleashed,e5,e8,BEFORE,e5-e8,gemini-1.5-flash,2.0,1,BEFORE,4.0,0.5,1.0,,3
CNN_20130321_821,used,intended,e5,e1000,BEFORE,e1000-e5,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,tries,e5,e1002,BEFORE,e1002-e5,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,undermine,e5,e1003,BEFORE,e1003-e5,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,unleashed,intended,e8,e1000,BEFORE,e1000-e8,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,unleashed,tries,e8,e1002,BEFORE,e1002-e8,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,unleashed,undermine,e8,e1003,BEFORE,e1003-e8,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,intended,tries,e1000,e1002,BEFORE,e1000-e1002,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,intended,undermine,e1000,e1003,BEFORE,e1000-e1003,gemini-1.5-flash,2.0,1,,,0.5,1.0,,3
CNN_20130321_821,tries,undermine,e1002,e1003,BEFORE,e1002-e1003,gemini-1.5-flash,2.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,make,,e1,e2,BEFORE,UNDEFINED,gemini-1.5-flash,3.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,had,used,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,had,unleashed,e4,e8,BEFORE,e4-e8,gemini-1.5-flash,3.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,unleashed,e5,e8,BEFORE,e5-e8,gemini-1.5-flash,3.0,1,BEFORE,4.0,0.5,1.0,,3
CNN_20130321_821,unleashed,intended,e8,e1000,BEFORE,e1000-e8,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,tries,undermine,e1002,e1003,BEFORE,e1002-e1003,gemini-1.5-flash,3.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,unleashed,tries,e8,e1002,BEFORE,e1002-e8,gemini-1.5-flash,3.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,,e1,e2,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,make,had,e1,e4,BEFORE,e1-e4,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,used,e1,e5,BEFORE,e1-e5,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,unleashed,e1,e8,BEFORE,e1-e8,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,intended,e1,e1000,BEFORE,e1-e1000,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,tries,e1,e1002,BEFORE,e1-e1002,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,make,undermine,e1,e1003,BEFORE,e1-e1003,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,,had,e2,e4,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,,used,e2,e5,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,,unleashed,e2,e8,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,,intended,e2,e1000,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,,tries,e2,e1002,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,,undermine,e2,e1003,BEFORE,UNDEFINED,gemini-1.5-flash,4.0,1,BEFORE,11.0,0.5,1.0,,3
CNN_20130321_821,had,used,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,had,unleashed,e4,e8,BEFORE,e4-e8,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,intended,e4,e1000,BEFORE,e1000-e4,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,tries,e4,e1002,BEFORE,e1002-e4,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,had,undermine,e4,e1003,BEFORE,e1003-e4,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,unleashed,e5,e8,BEFORE,e5-e8,gemini-1.5-flash,4.0,1,BEFORE,4.0,0.5,1.0,,3
CNN_20130321_821,used,intended,e5,e1000,BEFORE,e1000-e5,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,tries,e5,e1002,BEFORE,e1002-e5,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,used,undermine,e5,e1003,BEFORE,e1003-e5,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,unleashed,intended,e8,e1000,BEFORE,e1000-e8,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130321_821,unleashed,tries,e8,e1002,BEFORE,e1002-e8,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,unleashed,undermine,e8,e1003,BEFORE,e1003-e8,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,intended,tries,e1000,e1002,VAGUE,e1000-e1002,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,intended,undermine,e1000,e1003,VAGUE,e1000-e1003,gemini-1.5-flash,4.0,1,,,0.5,1.0,,3
CNN_20130321_821,tries,undermine,e1002,e1003,BEFORE,e1002-e1003,gemini-1.5-flash,4.0,1,BEFORE,5.0,0.5,1.0,,3
CNN_20130322_1003,accused,faking,e1,e2,BEFORE,e1-e2,gemini-1.5-flash,0.0,1,BEFORE,6.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,pleaded,e1,e3,BEFORE,e1-e3,gemini-1.5-flash,0.0,1,BEFORE,6.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,reported,e1,e6,BEFORE,e1-e6,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,missing,e1,e7,BEFORE,e1-e7,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,search,e1,e8,BEFORE,e1-e8,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,said,e1,e9,BEFORE,e1-e9,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,learned,e1,e10,BEFORE,e1-e10,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,pulled,e1,e11,BEFORE,e1-e11,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,pulled,e1,e12,BEFORE,e1-e12,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,showed,e1,e13,BEFORE,e1-e13,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,discovered,e1,e14,BEFORE,e1-e14,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,appeared,e1,e15,BEFORE,e1-e15,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,death,e1,e16,BEFORE,e1-e16,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,wanted,e1,e17,BEFORE,e1-e17,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,collect,e1,e18,BEFORE,e1-e18,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,started,e1,e19,BEFORE,e1-e19,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,said,e1,e20,BEFORE,e1-e20,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,arrested,e1,e21,BEFORE,e1-e21,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,agreed,e1,e23,BEFORE,e1-e23,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,plead,e1,e24,BEFORE,e1-e24,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,charge,e1,e25,BEFORE,e1-e25,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,sentence,e1,e26,BEFORE,e1-e26,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,said,e1,e27,BEFORE,e1-e27,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
CNN_20130322_1003,accused,pay,e1,e28,BEFORE,e1-e28,gemini-1.5-flash,0.0,1,,,0.025210084033613446,1.0,,3
